MAPPED_GENE,SNP ID
SNCA,36
TMEM175,12
LRRK2,11
BST1,11
RIT2,10
MCCC1,9
SH3GL2,8
DLG2,8
STK39 - RN7SL813P,8
WNT3,7
RORA - LINC02349,7
GCH1,7
NUCKS1 - RAB29,6
LINC02210-CRHR1,6
"FAM47E, FAM47E-STBD1",6
HMGN2P18 - KRTCAP2,6
CTSB,5
GAK,5
MSR1 - RN7SL474P,5
GBA1,5
CCNT2-AS1,5
CCDC62,5
SLC2A13,5
SIPA1L2,5
NSF,5
ITGA8,5
GPNMB,4
LZTS3 - DDRGK1,4
LMNA,4
ITPKB,4
DYRK1A,4
TBC1D5,4
KANSL1,4
KCNN3,4
LINC02527 - CCN6,4
LINC01012,4
GPRIN3 - SNCA,4
MAPT,4
APOE,4
CAMK2D,4
SNCA-AS1,3
HLA-DQB1 - MTCO3P1,3
DGKQ,3
SYT17,3
ELOVL7,3
MAP4K4,3
SPTSSB,3
GBF1,3
"LRRK2-DT, LRRK2",3
SLC41A1,3
HIP1R,3
HLA-DRA,3
DCST1,3
LRPPRC - RNU6-566P,3
ASH1L,3
SETD1A,3
RAB29,3
IGSF9B,3
INPP5F,3
IP6K2,3
RAB29 - SLC41A1,3
RBMS3,3
SCARB2,3
MED12L,3
"LINC02210, LINC02210, LINC02210-CRHR1",3
TMEM163,3
CASC16,3
CNTN1,3
ASS1P14 - SYT10,2
WWOX,2
CCSER1,2
CCT3,2
SEMA4A - SLC25A44,2
UBAP2,2
HLA-DRB1 - HLA-DQA1,2
SMAD4 - SRSF10P1,2
CLCN3,2
TMEM229B,2
NOD2,2
GPR65,2
LRRK2 - MUC19,2
BAG3,2
ITGA2B,2
TMPRSS9,2
Y_RNA - Y_RNA,2
ZNF474 - SNCAIP,2
RNF141,2
LINC01307 - LINC01709,2
RNU4-66P - RIMS1,2
RNU6-481P - FCGR2A,2
ZNF608 - LINC02240,2
RIT1,2
LCORL,2
NUCKS1,2
LAMTOR2 - RAB25,2
RPL13AP21 - SLC38A1,2
KTN1 - RPL13AP3,2
PARP9,2
LINC02842,2
KCNN3 - PMVK,2
LINC02949 - LINC02950,2
MUC19,2
PMVK,2
"FAM47E-STBD1, FAM47E",2
EFNA3 - Y_RNA,2
Metazoa_SRP - NUCKS1,2
CAB39L,2
"DNASE1L1, RPL10",2
SPPL2B,2
MYLK2,2
MAPT-AS1,2
SV2C,2
SPATA19 - IGSF9B,2
FYN,2
BRIP1,2
NDUFAF2,2
MCTP2,2
MIPOL1,2
GALNT9 - FBRSL1,2
BIN3,2
SNCA-AS1 - MMRN1,2
