"interaction","name","selected","shared interaction","shared name","stringdb::coexpression","stringdb::cooccurrence","stringdb::databases","stringdb::experiments","stringdb::fusion","stringdb::interspecies","stringdb::neighborhood","stringdb::score","stringdb::textmining"
"pp","9606.ENSP00000070846 (pp) 9606.ENSP00000287878","false","pp","9606.ENSP00000070846 (pp) 9606.ENSP00000287878",,,,,,,,"0.523","0.523"
"pp","9606.ENSP00000070846 (pp) 9606.ENSP00000355533","false","pp","9606.ENSP00000070846 (pp) 9606.ENSP00000355533",,,,,,,,"0.828","0.828"
"pp","9606.ENSP00000070846 (pp) 9606.ENSP00000358081","false","pp","9606.ENSP00000070846 (pp) 9606.ENSP00000358081",,,,,,,,"0.431","0.431"
"pp","9606.ENSP00000070846 (pp) 9606.ENSP00000257189","false","pp","9606.ENSP00000070846 (pp) 9606.ENSP00000257189","0.105",,"0.5","0.134",,,,"0.876","0.719"
"pp","9606.ENSP00000070846 (pp) 9606.ENSP00000357283","false","pp","9606.ENSP00000070846 (pp) 9606.ENSP00000357283",,,,,,,,"0.754","0.754"
"pp","9606.ENSP00000070846 (pp) 9606.ENSP00000351022","false","pp","9606.ENSP00000070846 (pp) 9606.ENSP00000351022","0.067",,,,,,,"0.555","0.543"
"pp","9606.ENSP00000215095 (pp) 9606.ENSP00000253083","false","pp","9606.ENSP00000215095 (pp) 9606.ENSP00000253083",,,,,,,,"0.432","0.433"
"pp","9606.ENSP00000215095 (pp) 9606.ENSP00000314499","false","pp","9606.ENSP00000215095 (pp) 9606.ENSP00000314499",,,,"0.051",,,,"0.405","0.399"
"pp","9606.ENSP00000215095 (pp) 9606.ENSP00000321805","false","pp","9606.ENSP00000215095 (pp) 9606.ENSP00000321805","0.2",,,"0.069",,,,"0.562","0.46"
"pp","9606.ENSP00000215095 (pp) 9606.ENSP00000479261","false","pp","9606.ENSP00000215095 (pp) 9606.ENSP00000479261","0.052",,,"0.346",,,,"0.862","0.796"
"pp","9606.ENSP00000215095 (pp) 9606.ENSP00000407118","false","pp","9606.ENSP00000215095 (pp) 9606.ENSP00000407118","0.08",,,"0.068",,,,"0.67","0.647"
"pp","9606.ENSP00000215095 (pp) 9606.ENSP00000236192","false","pp","9606.ENSP00000215095 (pp) 9606.ENSP00000236192",,,"0.9","0.46",,,,"0.969","0.488"
"pp","9606.ENSP00000215095 (pp) 9606.ENSP00000340820","false","pp","9606.ENSP00000215095 (pp) 9606.ENSP00000340820","0.129",,,"0.091",,,,"0.67","0.617"
"pp","9606.ENSP00000215095 (pp) 9606.ENSP00000500990","false","pp","9606.ENSP00000215095 (pp) 9606.ENSP00000500990","0.074",,,"0.1",,,,"0.451","0.395"
