genes,uid,snp_class,fxn_class,chr,chrpos,global_mafs,allele,clinical_significance,acc
"[1] ""LOC124900602""
",356182,snv,"genic_downstream_transcript_variant,intron_variant",4,4:89704960," [1] ""1000Genomes""    ""ALSPAC""         ""Estonian""       ""GENOME_DK""     
 [5] ""GnomAD""         ""GoNL""           ""KOREAN""         ""Korea1K""       
 [9] ""NorthernSweden"" ""Qatari""         ""SGDP_PRJ""       ""Siberian""      
[13] ""TOMMO""          ""TOPMED""         ""TWINSUK""        ""Vietnamese""    
[17] ""ALFA""          
",V,,NC_000004.12
"[1] ""LRRK2""
",28903073,snv,"intron_variant,genic_upstream_transcript_variant",12,12:40259708," [1] ""1000Genomes""    ""ALSPAC""         ""Estonian""       ""GnomAD""        
 [5] ""GoNL""           ""MGP""            ""NorthernSweden"" ""Qatari""        
 [9] ""SGDP_PRJ""       ""TOPMED""         ""TWINSUK""        ""ALFA""          
",R,,NC_000012.12
,144847051,snv,,12,12:33148871,"[1] ""1000Genomes"" ""ALSPAC""      ""Estonian""    ""GnomAD""      ""GoNL""       
[6] ""TWINSUK""     ""ALFA""       
",R,,NC_000012.12
"[1] ""GBA""
",2230288,snv,"missense_variant,coding_sequence_variant",1,1:155236376," [1] ""1000Genomes""    ""ALSPAC""         ""ExAC""           ""FINRISK""       
 [5] ""GENOME_DK""      ""GnomAD""         ""GnomAD_exomes""  ""GoNL""          
 [9] ""HapMap""         ""MGP""            ""NorthernSweden"" ""TOPMED""        
[13] ""TWINSUK""        ""ALFA""          
",Y,"benign,likely-benign,pathogenic,benign-likely-benign,risk-factor",NC_000001.11
"[1] ""GAK""
",35541465,delins,intron_variant,4,4:879499," [1] ""1000Genomes""    ""ALSPAC""         ""Estonian""       ""GnomAD""        
 [5] ""GoNL""           ""NorthernSweden"" ""TOMMO""          ""TOPMED""        
 [9] ""TWINSUK""        ""Vietnamese""     ""ALFA""          
",N,,NC_000004.12
"[1] ""GCH1""
",11158026,snv,"intron_variant,5_prime_UTR_variant",14,14:54882151," [1] ""1000Genomes""    ""ALSPAC""         ""Estonian""       ""GENOME_DK""     
 [5] ""GoNL""           ""KOREAN""         ""Korea1K""        ""NorthernSweden""
 [9] ""Qatari""         ""SGDP_PRJ""       ""Siberian""       ""TOPMED""        
[13] ""TWINSUK""        ""Vietnamese""     ""ALFA""          
",N,"likely-benign,benign",NC_000014.9
"[1] ""LOC105375186""
",10256359,snv,intron_variant,7,7:23084258," [1] ""1000Genomes""    ""ALSPAC""         ""Estonian""       ""GENOME_DK""     
 [5] ""GoNL""           ""KOREAN""         ""NorthernSweden"" ""Qatari""        
 [9] ""SGDP_PRJ""       ""Siberian""       ""TOMMO""          ""TOPMED""        
[13] ""TWINSUK""        ""ALFA""          
",N,,NC_000007.14
,823118,snv,,1,1:205754444," [1] ""1000Genomes""    ""ALSPAC""         ""Estonian""       ""GENOME_DK""     
 [5] ""GnomAD""         ""GoNL""           ""KOREAN""         ""Korea1K""       
 [9] ""NorthernSweden"" ""PAGE_STUDY""     ""Qatari""         ""SGDP_PRJ""      
[13] ""Siberian""       ""TOMMO""          ""TOPMED""         ""TWINSUK""       
[17] ""Vietnamese""     ""ALFA""          
",H,,NC_000001.11
"[1] ""FAM47E""       ""FAM47E-STBD1""
",6812193,snv,intron_variant,4,4:76277833," [1] ""1000Genomes""    ""ALSPAC""         ""Estonian""       ""GENOME_DK""     
 [5] ""GnomAD""         ""GoNL""           ""HGDP_Stanford""  ""HapMap""        
 [9] ""KOREAN""         ""Korea1K""        ""NorthernSweden"" ""PAGE_STUDY""    
[13] ""PRJEB36033""     ""Qatari""         ""SGDP_PRJ""       ""Siberian""      
[17] ""TOMMO""          ""TOPMED""         ""TWINSUK""        ""Vietnamese""    
[21] ""ALFA""          
",Y,,NC_000004.12
"[1] ""BST1""
",4266290,snv,"genic_downstream_transcript_variant,intron_variant",4,4:15735495," [1] ""1000Genomes""    ""ALSPAC""         ""Estonian""       ""GENOME_DK""     
 [5] ""GnomAD""         ""GoNL""           ""HapMap""         ""KOREAN""        
 [9] ""NorthernSweden"" ""Qatari""         ""SGDP_PRJ""       ""Siberian""      
[13] ""TOMMO""          ""TOPMED""         ""TWINSUK""        ""ALFA""          
",B,,NC_000004.12
