MAPPED_GENE,SNP ID,DISEASE/TRAIT,CHR_ID,P-VALUE,INITIAL SAMPLE SIZE
AACS,rs6488987,Parkinson's disease progression (cognitive),12,2e-06,"2,788 individuals"
AAK1,rs7577851,Parkinson's disease (age of onset),2,9e-06,"857 European ancestry familial cases, 440 idiopathic cases"
ADAM10,rs118049686,Levodopa-induced dyskinesia in levodopa treated Parkinson's disease,15,7e-06,"172 Korean ancestry cases, 569 Korean ancestry controls"
ADD1,rs16843452,Parkinson's disease,4,3e-07,"57,893 European ancestry cases, 1,505,102 European ancestry controls, 7,046 East Asian ancestry cases, 176,756 East Asian ancestry controls, 2,440 Hispanic or Latin American cases, 582,220 Hispanic or Latin American controls, 288 African ancestry cases, 193,985 African ancestry controls"
AGAP1,rs10929159,Parkinson's disease,2,7e-08,"20,184 European ancestry cases, 397,324 European ancestry controls"
AHR,rs112485576,Parkinson's disease or first degree relation to individual with Parkinson's disease,7,7e-28,"15,056 European ancestry cases, 18,618 European ancestry proxy cases, 449,056 European ancestry controls"
ALK,rs72792300,Parkinson disease,2,7e-06,"6,868 cases, 204 controls"
ANO2,rs74709761,Parkinson's disease progression (motor),12,6e-06,"2,848 individuals"
ANO5,rs11026412,Parkinson's disease,11,3e-06,"4,238 European ancestry cases, 4,239 European ancestry controls"
APOE,rs429358,Parkinson's disease (age of onset),19,6e-08,"17,996 cases"
APOE,rs429358,Parkinson's disease progression (composite),19,1e-08,"2,755 individuals"
APOE,rs429358,Parkinson’s disease progression to dementia,19,2e-15,"3,923 European ancestry individuals"
APOE,rs429358,Parkinson's disease progression (cognitive),19,3e-13,"2,788 individuals"
AREL1,rs112288215,Parkinson's disease,14,3e-07,"57,893 European ancestry cases, 1,505,102 European ancestry controls, 7,046 East Asian ancestry cases, 176,756 East Asian ancestry controls, 2,440 Hispanic or Latin American cases, 582,220 Hispanic or Latin American controls, 288 African ancestry cases, 193,985 African ancestry controls"
ARHGAP27,rs8327,Parkinson's disease,17,4e-11,"57,893 European ancestry cases, 1,505,102 European ancestry controls, 7,046 East Asian ancestry cases, 176,756 East Asian ancestry controls, 2,440 Hispanic or Latin American cases, 582,220 Hispanic or Latin American controls, 288 African ancestry cases, 193,985 African ancestry controls"
ARHGEF2,rs71628699,Parkinson disease,1,4e-36,"6,868 cases, 204 controls"
ASCL4 - WSCD2,rs10746109,Parkinson's disease,12,4e-06,"496 East Asian ancestry male cases, 2,390 East Asian ancestry male controls"
ASH1L,rs145330152,Parkinson's disease,1,1e-09,"5,167 European ancestry cases, 5,366 European ancestry controls"
ASH1L,rs116540837,Parkinson disease,1,2e-53,"6,868 cases, 204 controls"
ASH1L,rs12734374,Parkinson's disease,1,4e-68,"57,893 European ancestry cases, 1,505,102 European ancestry controls, 7,046 East Asian ancestry cases, 176,756 East Asian ancestry controls, 2,440 Hispanic or Latin American cases, 582,220 Hispanic or Latin American controls, 288 African ancestry cases, 193,985 African ancestry controls"
ASS1P14 - SYT10,rs138895122,Parkinson's disease,12,6e-12,"20,184 European ancestry cases, 397,324 European ancestry controls"
ASS1P14 - SYT10,rs144847051,Parkinson's disease,12,4e-21,"9,619 European ancestry cases, 324,522 European ancestry controls"
ASXL3,rs1941685,Parkinson's disease or first degree relation to individual with Parkinson's disease,18,2e-08,"15,056 European ancestry cases, 18,618 European ancestry proxy cases, 449,056 European ancestry controls"
ASXL3 - NOL4,rs8091977,Parkinson's disease,18,4e-09,"57,893 European ancestry cases, 1,505,102 European ancestry controls, 7,046 East Asian ancestry cases, 176,756 East Asian ancestry controls, 2,440 Hispanic or Latin American cases, 582,220 Hispanic or Latin American controls, 288 African ancestry cases, 193,985 African ancestry controls"
ATF6,rs10918270,Parkinson's disease (age of onset),1,8e-06,"857 European ancestry familial cases, 440 idiopathic cases"
BAG3,rs72840788,Parkinson's disease or first degree relation to individual with Parkinson's disease,10,2e-11,"15,056 European ancestry cases, 18,618 European ancestry proxy cases, 449,056 European ancestry controls"
BAG3,rs144814361,Parkinson's disease,10,2e-12,"20,184 European ancestry cases, 397,324 European ancestry controls"
BBS9,rs78294974,Parkinson’s disease progression to dementia,7,4e-08,"3,923 European ancestry individuals"
BCKDK,rs14235,Parkinson's disease,16,5e-12,"20,184 European ancestry cases, 397,324 European ancestry controls"
BCKDK,rs14235,Parkinson's disease,16,2e-12,"13,708 European ancestry cases, 95,282 European ancestry controls"
BIN3,rs2280104,Parkinson's disease or first degree relation to individual with Parkinson's disease,8,1e-08,"15,056 European ancestry cases, 18,618 European ancestry proxy cases, 449,056 European ancestry controls"
BIN3,rs2280104,Parkinson's disease,8,3e-08,"20,184 European ancestry cases, 397,324 European ancestry controls"
BRINP1,rs4837628,Parkinson's disease,9,1e-06,"1,752 European ancestry cases, 1,745 European ancestry controls"
BRIP1,rs61169879,Parkinson's disease or first degree relation to individual with Parkinson's disease,17,9e-10,"15,056 European ancestry cases, 18,618 European ancestry proxy cases, 449,056 European ancestry controls"
BRIP1,rs61169879,Parkinson's disease,17,2e-10,"57,893 European ancestry cases, 1,505,102 European ancestry controls, 7,046 East Asian ancestry cases, 176,756 East Asian ancestry controls, 2,440 Hispanic or Latin American cases, 582,220 Hispanic or Latin American controls, 288 African ancestry cases, 193,985 African ancestry controls"
BST1,rs11724635,Parkinson's disease,4,1e-16,"5,333 European ancestry cases, 12,019 European ancestry controls"
BST1,rs6449168,Parkinson's disease,4,4e-07,"6,724 East Asian ancestry cases, 24,851 East Asian ancestry controls"
BST1,rs4266290,Parkinson's disease,4,8e-11,"9,619 European ancestry cases, 324,522 European ancestry controls"
BST1,rs4698412,Parkinson's disease,4,6e-33,"57,893 European ancestry cases, 1,505,102 European ancestry controls, 7,046 East Asian ancestry cases, 176,756 East Asian ancestry controls, 2,440 Hispanic or Latin American cases, 582,220 Hispanic or Latin American controls, 288 African ancestry cases, 193,985 African ancestry controls"
BST1,rs11724635,Parkinson's disease,4,1e-19,"20,184 European ancestry cases, 397,324 European ancestry controls"
BST1,rs4698412,Parkinson's disease,4,1e-13,"1,972 Chinese ancestry cases, 2,478 Chinese ancestry controls"
BST1,rs4538475,Parkinson's disease,4,3e-09,"988 Japanese ancestry cases, 2,521 Japanese ancestry controls"
BST1,rs4698412,Parkinson's disease,4,2e-06,"1,039 European ancestry cases, 1,984 European ancestry controls"
BST1,rs4698412,Parkinson's disease,4,3e-07,"4,238 European ancestry cases, 4,239 European ancestry controls"
BST1,rs4698412,Parkinson's disease or first degree relation to individual with Parkinson's disease,4,2.0000000000000002e-28,"15,056 European ancestry cases, 18,618 European ancestry proxy cases, 449,056 European ancestry controls"
BST1,rs11724635,Parkinson's disease,4,9e-18,"13,708 European ancestry cases, 95,282 European ancestry controls"
C5orf24 - TXNDC15,rs11950533,Parkinson's disease or first degree relation to individual with Parkinson's disease,5,7e-09,"15,056 European ancestry cases, 18,618 European ancestry proxy cases, 449,056 European ancestry controls"
C5orf52,rs10051838,Motor fluctuations in levodopa treated Parkinson's disease,5,9e-06,"219 Korean ancestry cases, 522 Korean ancestry controls"
CA8,rs144074972,Parkinson's disease,8,6e-08,"9,619 European ancestry cases, 324,522 European ancestry controls"
CAB39L,rs9568188,Parkinson's disease,13,4e-07,"20,184 European ancestry cases, 397,324 European ancestry controls"
CAB39L,rs9568188,Parkinson's disease or first degree relation to individual with Parkinson's disease,13,1e-08,"15,056 European ancestry cases, 18,618 European ancestry proxy cases, 449,056 European ancestry controls"
CACNA1B,rs2278973,Parkinson's disease,9,3e-07,"20,184 European ancestry cases, 397,324 European ancestry controls"
CACNA2D3,rs75337321,Parkinson disease,3,2e-06,"6,868 cases, 204 controls"
CAMK2D,rs13117519,Parkinson's disease,4,3e-11,"57,893 European ancestry cases, 1,505,102 European ancestry controls, 7,046 East Asian ancestry cases, 176,756 East Asian ancestry controls, 2,440 Hispanic or Latin American cases, 582,220 Hispanic or Latin American controls, 288 African ancestry cases, 193,985 African ancestry controls"
CAMK2D,rs78738012,Parkinson's disease,4,5e-11,"20,184 European ancestry cases, 397,324 European ancestry controls"
CAMK2D,rs17483653,Parkinson's disease,4,5e-07,"20,184 European ancestry cases, 397,324 European ancestry controls"
CAMK2D,rs13117519,Parkinson's disease or first degree relation to individual with Parkinson's disease,4,1e-12,"15,056 European ancestry cases, 18,618 European ancestry proxy cases, 449,056 European ancestry controls"
CAMTA1,rs7532024,Levodopa wearing off effect (time symptoms uncontrolled) in Parkinson's disease (response to zonisamide),1,4e-06,"67 Japanese ancestry responders, 133 Japanese ancestry poor responders"
CAPN13 - GALNT14,rs144125291,Levodopa-induced dyskinesia in levodopa treated Parkinson's disease,2,8e-09,"172 Korean ancestry cases, 569 Korean ancestry controls"
CARS2,rs74125032,Parkinson's disease,13,2e-10,"5,167 European ancestry cases, 5,366 European ancestry controls"
CASC16,rs4784227,Parkinson's disease,16,1e-10,"20,184 European ancestry cases, 397,324 European ancestry controls"
CASC16,rs3104783,Parkinson's disease or first degree relation to individual with Parkinson's disease,16,1e-12,"15,056 European ancestry cases, 18,618 European ancestry proxy cases, 449,056 European ancestry controls"
CASC16,rs3104776,Parkinson's disease,16,4e-12,"57,893 European ancestry cases, 1,505,102 European ancestry controls, 7,046 East Asian ancestry cases, 176,756 East Asian ancestry controls, 2,440 Hispanic or Latin American cases, 582,220 Hispanic or Latin American controls, 288 African ancestry cases, 193,985 African ancestry controls"
CASC16 - PHB1P21,rs113487377,Parkinson's disease,16,1e-08,"57,893 European ancestry cases, 1,505,102 European ancestry controls, 7,046 East Asian ancestry cases, 176,756 East Asian ancestry controls, 2,440 Hispanic or Latin American cases, 582,220 Hispanic or Latin American controls, 288 African ancestry cases, 193,985 African ancestry controls"
CBFA2T3,rs150854091,Levodopa-induced dyskinesia in levodopa treated Parkinson's disease,16,1e-06,"172 Korean ancestry cases, 569 Korean ancestry controls"
CC2D2A,rs11941559,Parkinson's disease,4,5e-10,"57,893 European ancestry cases, 1,505,102 European ancestry controls, 7,046 East Asian ancestry cases, 176,756 East Asian ancestry controls, 2,440 Hispanic or Latin American cases, 582,220 Hispanic or Latin American controls, 288 African ancestry cases, 193,985 African ancestry controls"
CCDC62,rs12817488,Parkinson's disease,12,3e-13,"5,333 European ancestry cases, 12,019 European ancestry controls"
CCDC62,rs11060180,Parkinson's disease,12,3e-10,"9,619 European ancestry cases, 324,522 European ancestry controls"
CCDC62,rs11060180,Parkinson's disease,12,2e-20,"20,184 European ancestry cases, 397,324 European ancestry controls"
CCDC62,rs11060180,Parkinson's disease,12,6e-12,"13,708 European ancestry cases, 95,282 European ancestry controls"
CCDC62,rs11060112,Parkinson's disease,12,2e-10,"20,184 European ancestry cases, 397,324 European ancestry controls"
CCDC82,rs7118648,Parkinson's disease,11,2e-07,"31 Amish cases, 767 Amish controls"
CCDC85A,rs59330234,Parkinson's disease,2,1e-08,"515 South Asian ancestry cases, 1,363 South Asian ancestry controls"
CCNT2-AS1,rs6430538,Parkinson's disease,2,2e-07,"4,238 European ancestry cases, 4,239 European ancestry controls"
CCNT2-AS1,rs6430538,Parkinson's disease,2,8.000000000000001e-24,"20,184 European ancestry cases, 397,324 European ancestry controls"
CCNT2-AS1,rs6710823,Parkinson's disease,2,7e-09,"5,333 European ancestry cases, 12,019 European ancestry controls"
CCNT2-AS1,rs6430538,Parkinson's disease,2,1e-13,"20,184 European ancestry cases, 397,324 European ancestry controls"
