DOI,STUDY,GENE,SNP ID,HGVS NOMENCLATURE,"PROTECTIVE EFFECT (0=YES, 1=NO)",MAF,ALLELE,P-VALUE (GWAS),SAMPLE SIZE,POPULATION / ETHNICITY,"TYPE OF ANEURYSM
(0=UNDEFINED, 1=SACCULAR, 2=FUSIFORM, 3=MULTIPLE ANEURYSMS (UNDEFINED), 4= MULTIPLE ANEURYSMS (SACCULAR), 5=MULTIPLE ANEURYSMS (FUSIFORM), 6=MULTIPLE ANEURYSMS (MIXED)",ANEURYSM SITE,NOTES
NA,www.ncbi.nlm.nih.gov/pubmed/30087447,COL16A1,rs2297676,NA,NA,NA,NA,9.00E-06,NA,NA,NA,Thoracic Aorta,
NA,www.ncbi.nlm.nih.gov/pubmed/30087447,LINC01823 - LINC01826,rs1432302,NA,NA,NA,NA,6.00E-06,NA,NA,NA,Thoracic Aorta,
NA,www.ncbi.nlm.nih.gov/pubmed/30087447,RAD21-AS1 - AARD,rs3020167,NA,NA,NA,NA,5.00E-06,NA,NA,NA,Thoracic Aorta,
NA,www.ncbi.nlm.nih.gov/pubmed/30087447,LINC01169 - SMAD6,rs2278601,NA,NA,NA,NA,8.00E-06,NA,NA,NA,Thoracic Aorta,
NA,www.ncbi.nlm.nih.gov/pubmed/34469433,CTNNA3,rs149014140,NA,NA,NA,NA,2.00E-08,NA,NA,NA,Thoracic Aorta,
NA,www.ncbi.nlm.nih.gov/pubmed/34469433,CTNNA3,rs190411362,NA,NA,NA,NA,8.00E-08,NA,NA,NA,Thoracic Aorta,
NA,www.ncbi.nlm.nih.gov/pubmed/34469433,CTNNA3,rs117892132,NA,NA,NA,NA,7.00E-08,NA,NA,NA,Thoracic Aorta,
NA,www.ncbi.nlm.nih.gov/pubmed/34469433,HERC4,rs181551370,NA,NA,NA,NA,1.00E-06,NA,NA,NA,Thoracic Aorta,
NA,www.ncbi.nlm.nih.gov/pubmed/34469433,LINC00540 - FTH1P7,rs548407431,NA,NA,NA,NA,7.00E-07,NA,NA,NA,Thoracic Aorta,
NA,www.ncbi.nlm.nih.gov/pubmed/34469433,OR7E159P - GNG2,rs148927240,NA,NA,NA,NA,2.00E-08,NA,NA,NA,Thoracic Aorta,
NA,www.ncbi.nlm.nih.gov/pubmed/34469433,GABRG3,rs117755454,NA,NA,NA,NA,6.00E-07,NA,NA,NA,Thoracic Aorta,
NA,www.ncbi.nlm.nih.gov/pubmed/34469433,FBN1,rs689304,NA,NA,NA,NA,5.00E-07,NA,NA,NA,Thoracic Aorta,
NA,www.ncbi.nlm.nih.gov/pubmed/34469433,MBP,rs78851735,NA,NA,NA,NA,4.00E-08,NA,NA,NA,Thoracic Aorta,
NA,www.ncbi.nlm.nih.gov/pubmed/34469433,UBE2V1P16 - RPL3P12,rs2448858,NA,NA,NA,NA,6.00E-07,NA,NA,NA,Thoracic Aorta,
NA,www.ncbi.nlm.nih.gov/pubmed/34469433,CNTN4,rs72996095,NA,NA,NA,NA,5.00E-07,NA,NA,NA,Thoracic Aorta,
NA,www.ncbi.nlm.nih.gov/pubmed/34469433,RN7SL553P - MTARC2P1,rs12494537,NA,NA,NA,NA,8.00E-07,NA,NA,NA,Thoracic Aorta,
NA,www.ncbi.nlm.nih.gov/pubmed/34469433,"OXNAD1, RFTN1",rs61129840,NA,NA,NA,NA,8.00E-07,NA,NA,NA,Thoracic Aorta,
NA,www.ncbi.nlm.nih.gov/pubmed/34469433,TRIM36,rs142262004,NA,NA,NA,NA,8.00E-07,NA,NA,NA,Thoracic Aorta,
NA,www.ncbi.nlm.nih.gov/pubmed/34469433,CASC15,rs574212135,NA,NA,NA,NA,3.00E-07,NA,NA,NA,Thoracic Aorta,
NA,www.ncbi.nlm.nih.gov/pubmed/34469433,Y_RNA - PTPN3,rs12115792,NA,NA,NA,NA,7.00E-07,NA,NA,NA,Thoracic Aorta,
NA,www.ncbi.nlm.nih.gov/pubmed/21909107,FBN1,rs1036476,NA,NA,NA,NA,6.00E-13,NA,NA,NA,Thoracic Aorta,
NA,www.ncbi.nlm.nih.gov/pubmed/34265237,"RPS15AP30, TCF7L2",rs4073288,NA,NA,NA,NA,5.00E-09,NA,NA,NA,Thoracic Aorta,
NA,www.ncbi.nlm.nih.gov/pubmed/34265237,TCF7L2,rs7904519,NA,NA,NA,NA,3.00E-09,NA,NA,NA,Thoracic Aorta,
NA,www.ncbi.nlm.nih.gov/pubmed/34265237,TCF7L2,rs4074718,NA,NA,NA,NA,6.00E-09,NA,NA,NA,Thoracic Aorta,
NA,www.ncbi.nlm.nih.gov/pubmed/27418160,CDKN2B-AS1,rs7866503,NA,NA,NA,NA,2.00E-13,NA,NA,NA,Thoracic Aorta,
NA,www.ncbi.nlm.nih.gov/pubmed/27418160,RPS4XP18 - RNU6-1032P,rs8087799,NA,NA,NA,NA,2.00E-09,NA,NA,NA,Thoracic Aorta,
NA,www.ncbi.nlm.nih.gov/pubmed/27418160,FBN1,rs595244,NA,NA,NA,NA,1.00E-08,NA,NA,NA,Thoracic Aorta,
NA,www.ncbi.nlm.nih.gov/pubmed/27418160,"ANKRD44-IT1, ANKRD44",rs919433,NA,NA,NA,NA,5.00E-08,NA,NA,NA,Thoracic Aorta,
